Comment,Description,Designator,Footprint,LibRef,Quantity

"battery pad","","b1","bat_pads","battery pad","1"
"10u","C19702, C6119842","C1, C3, C4","FP-C1608-080-0_1-MFG","CMP-2000-04979-3","3"
"100n","C14663","C2","FP-CGA3E-0_3-0_1-IPC_A","CMP-2000-07546-2","1"
"genCap","C14663, C107093, C162241, C694504, C107098, C100042, C86295, C6119842, C19666","C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C27","GeneralCap","genCap","22"
"ESDA6V1BC6","C495220","D1","SOT95P280X145-6N","ESDA6V1BC6","1"
"electrode","","e1","electrode","electrode","1"
"USB4105-GF-A-120","","J1","GCT_USB4105-GF-A-120","USB4105-GF-A-120","1"
"MCP73831T-2ACI/OT","C424093","J2","SOT95P280X145-5N","MCP73831T-2ACI/OT","1"
"1239AS-H-4R7M=P2","C882976","L1, L2","FP-DFE252012C-IPC_A","CMP-06042-003985-1","2"
"XFL4020-152MEC","C3033018","L3","IND_XFL4020_COC","XFL4020-152MEC","1"
"led","C965799","led1, led2, led3, led4, led5","GeneralCap","genCap","5"
"61302011121","","P2","61302011121","CMP-1502-01102-3","1"
"RC0603JR-070RL","C95177","R1","RESC1608X55X25ML10T15","CMP-2100-03667-1","1"
"genRes","C105588, C137801, C2906984, C4216, C2088918, C2907015, C14675, C98220, C105578, C123419, C844932, C22975, C2906993, C2849084, C22548, C137768, C705990","R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30","GeneralCap","genRes","28"
"PTS645SH50SMTR92LFS","C221869","SW1, SW2","PTS645S_SMTR92_CNK","PTS645SH50SMTR92LFS","2"
"AD8295BCPZ-WP","IC INST AMP 3 CIRCUIT 16LFCSP","U1","FP-CP-16-19-IPC_C","CMP-09116-000488-1","1"
"TPS65133DPDR","C134100","U2","FP-DPD0012A-MFG","CMP-04918-000430-1","1"
"MPU-9250","9-axis MotionTracking device, 2.4 to 3,6 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel","U3","INSE-QFN-24-1700X1540TP_M","CMP-2100-03657-1","1"
"ESP32-S3-WROOM-1-N16R2","C2913205","U4","XCVR_ESP32-S3-WROOM-1-N16R2","ESP32-S3-WROOM-1-N16R2","1"
"TPS63021DSJR","","U5","IC_TPS63021DSJR","TPS63021DSJR","1"
"OPA2990IDSGR","C2057874","U6","WSON8_DSG_TEX","OPA2990IDSGR","1"
"ADC121S021CIMFXNOPB","C701596","U7","DBV0006A_N","ADC121S021CIMFXNOPB","1"
"CP2102N-A02-GQFN28","C1550553","U8","QFN50P500X500X80-29N","CP2102N-A02-GQFN28","1"
"KSC3265YMTF","C14809","U9, U10","SOT-23_ONS","KSC3265YMTF","2"
